Module: mul_float_4in_regout_regin

--------------------------------------------------Timing Report--------------------------------------------------

DEW         DFW         Slack(ns)   Requirement(ns)
11          8           148         148         0           0           114         0           0           0           4           
11          9           170         170         0           0           120         0           0           0           4           
11          10          197         197         0           0           126         0           0           0           4           
11          11          220         220         0           0           132         0           0           0           5           
11          12          233         233         0           0           138         0           0           0           5           
11          13          231         231         0           0           144         0           0           0           9           
11          14          247         247         0           0           150         0           0           0           9           
11          15          244         244         0           0           156         0           0           0           7           
11          16          247         247         0           0           162         0           0           0           7           
11          17          319         319         0           0           168         0           0           0           5           
11          18          282         282         0           0           174         0           0           0           10          
11          19          388         388         0           0           180         0           0           0           16          
11          20          397         397         0           0           186         0           0           0           16          
12          4           96          96          0           0           96          0           0           0           1           
12          5           127         127         0           0           102         0           0           0           1           
12          6           131         131         0           0           108         0           0           0           2           
12          7           130         130         0           0           114         0           0           0           2           
12          8           154         154         0           0           120         0           0           0           4           
12          9           169         169         0           0           126         0           0           0           4           
12          10          192         192         0           0           132         0           0           0           4           
12          11          220         220         0           0           138         0           0           0           5           
12          12          236         236         0           0           144         0           0           0           5           
12          13          241         241         0           0           150         0           0           0           9           
12          14          253         253         0           0           156         0           0           0           9           
12          15          248         248         0           0           162         0           0           0           7           
12          16          253         253         0           0           168         0           0           0           7           
12          17          350         350         0           0           174         0           0           0           5           
12          18          287         287         0           0           180         0           0           0           10          
12          19          396         396         0           0           186         0           0           0           16          
12          20          406         406         0           0           192         0           0           0           16          
